product_name,category,mrp,amp,brand_reputation_score,expiry_score,holiday_score,inventory_level,location_zone,final_price
Fresh Red Apples 1kg,fresh fruits,120,112.59,4.12,0.03,0.0,280,Tier-1,120.0
Fresh Red Apples 1kg,fresh fruits,120,112.59,4.12,0.43,0.0,280,Tier-1,120.0
Fresh Red Apples 1kg,fresh fruits,120,112.59,4.12,1.0,0.0,280,Tier-1,119.62
Fresh Red Apples 1kg,fresh fruits,120,112.59,4.12,0.3,0.0,280,Tier-1,120.0
Fresh Red Apples 1kg,fresh fruits,120,112.59,4.12,0.8,0.0,280,Tier-1,120.0
Fresh Red Apples 1kg,fresh fruits,120,112.59,4.12,0.97,0.0,280,Tier-1,119.75
Fresh Red Apples 1kg,fresh fruits,120,112.59,4.12,0.87,0.0,280,Tier-1,120.0
Fresh Red Apples 1kg,fresh fruits,120,112.59,4.12,0.2,0.0,280,Tier-1,120.0
Fresh Red Apples 1kg,fresh fruits,120,112.59,4.12,0.37,0.0,280,Tier-1,120.0
Fresh Red Apples 1kg,fresh fruits,120,112.59,4.12,0.63,0.0,280,Tier-1,120.0
Fresh Red Apples 1kg,fresh fruits,120,112.59,4.12,0.4,0.0,280,Tier-1,120.0
Fresh Red Apples 1kg,fresh fruits,120,113.7,4.12,0.4,0.0,710,Tier-2,120.0
Fresh Red Apples 1kg,fresh fruits,120,113.7,4.12,0.47,0.0,710,Tier-2,120.0
Fresh Red Apples 1kg,fresh fruits,120,113.7,4.12,0.27,0.0,710,Tier-2,120.0
Fresh Red Apples 1kg,fresh fruits,120,113.7,4.12,0.3,0.0,710,Tier-2,120.0
Fresh Red Apples 1kg,fresh fruits,120,113.7,4.12,0.17,0.0,710,Tier-2,120.0
Fresh Red Apples 1kg,fresh fruits,120,113.7,4.12,0.13,0.0,710,Tier-2,120.0
Fresh Red Apples 1kg,fresh fruits,120,113.7,4.12,0.03,0.0,710,Tier-2,120.0
Fresh Red Apples 1kg,fresh fruits,120,113.7,4.12,0.2,0.0,710,Tier-2,120.0
Fresh Red Apples 1kg,fresh fruits,120,113.7,4.12,0.57,0.0,710,Tier-2,120.0
Fresh Red Apples 1kg,fresh fruits,120,113.7,4.12,0.37,0.0,710,Tier-2,120.0
Fresh Red Apples 1kg,fresh fruits,120,113.7,4.12,0.1,0.0,710,Tier-2,120.0
Fresh Red Apples 1kg,fresh fruits,120,113.7,4.12,0.5,0.0,710,Tier-2,120.0
Fresh Red Apples 1kg,fresh fruits,120,113.7,4.12,0.43,0.0,710,Tier-2,120.0
Fresh Red Apples 1kg,fresh fruits,120,112.34,4.12,0.17,0.0,224,Tier-3,119.71
Fresh Red Apples 1kg,fresh fruits,120,112.34,4.12,0.37,0.0,224,Tier-3,118.81
Fresh Red Apples 1kg,fresh fruits,120,112.34,4.12,0.73,0.0,224,Tier-3,117.19
Fresh Red Apples 1kg,fresh fruits,120,112.34,4.12,0.87,0.0,224,Tier-3,116.56
Fresh Red Apples 1kg,fresh fruits,120,112.34,4.12,0.57,0.0,224,Tier-3,117.91
Fresh Red Apples 1kg,fresh fruits,120,112.34,4.12,0.77,0.0,224,Tier-3,117.01
Fresh Red Apples 1kg,fresh fruits,120,112.34,4.12,0.13,0.0,224,Tier-3,119.89
Fresh Red Apples 1kg,fresh fruits,120,112.34,4.12,0.23,0.0,224,Tier-3,119.44
Fresh Red Apples 1kg,fresh fruits,120,112.34,4.12,0.7,0.0,224,Tier-3,117.33
Fresh Red Apples 1kg,fresh fruits,120,112.34,4.12,0.83,0.0,224,Tier-3,116.74
Fresh Red Apples 1kg,fresh fruits,120,112.34,4.12,0.2,0.0,224,Tier-3,119.57
Fresh Red Apples 1kg,fresh fruits,120,112.34,4.12,0.93,0.0,224,Tier-3,116.29
Fresh Red Apples 1kg,fresh fruits,120,112.34,4.12,0.27,0.0,224,Tier-3,119.26
Fresh Red Apples 1kg,fresh fruits,120,112.34,4.12,0.0,0.0,224,Tier-3,120.0
Fresh Red Apples 1kg,fresh fruits,120,112.34,4.12,0.53,0.0,224,Tier-3,118.09
Fresh Red Apples 1kg,fresh fruits,120,110.24,4.12,0.57,0.0,97,Tier-1,119.02
Fresh Red Apples 1kg,fresh fruits,120,110.24,4.12,0.5,0.0,97,Tier-1,119.32
Fresh Red Apples 1kg,fresh fruits,120,110.24,4.12,0.43,0.0,97,Tier-1,119.63
Fresh Red Apples 1kg,fresh fruits,120,110.24,4.12,0.17,0.0,97,Tier-1,120.0
Fresh Red Apples 1kg,fresh fruits,120,110.24,4.12,0.53,0.0,97,Tier-1,119.19
Fresh Red Apples 1kg,fresh fruits,120,110.24,4.12,0.1,0.0,97,Tier-1,120.0
Fresh Red Apples 1kg,fresh fruits,120,110.24,4.12,0.47,0.0,97,Tier-1,119.46
Fresh Red Apples 1kg,fresh fruits,120,110.24,4.12,0.33,0.0,97,Tier-1,120.0
Fresh Red Apples 1kg,fresh fruits,120,110.24,4.12,0.13,0.0,97,Tier-1,120.0
Fresh Red Apples 1kg,fresh fruits,120,110.24,4.12,0.4,0.0,97,Tier-1,119.76
Fresh Red Apples 1kg,fresh fruits,120,110.24,4.12,0.2,0.0,97,Tier-1,120.0
Fresh Red Apples 1kg,fresh fruits,120,111.29,4.12,0.63,0.0,140,Tier-2,118.77
Fresh Red Apples 1kg,fresh fruits,120,111.29,4.12,0.77,0.0,140,Tier-2,118.15
Fresh Red Apples 1kg,fresh fruits,120,111.29,4.12,0.37,0.0,140,Tier-2,119.93
Fresh Red Apples 1kg,fresh fruits,120,111.29,4.12,0.5,0.0,140,Tier-2,119.35
Fresh Red Apples 1kg,fresh fruits,120,111.29,4.12,0.53,0.0,140,Tier-2,119.21
Fresh Red Apples 1kg,fresh fruits,120,111.29,4.12,0.17,0.0,140,Tier-2,120.0
Fresh Red Apples 1kg,fresh fruits,120,111.29,4.12,0.73,0.0,140,Tier-2,118.32
Fresh Red Apples 1kg,fresh fruits,120,111.29,4.12,0.93,0.0,140,Tier-2,117.43
Fresh Red Apples 1kg,fresh fruits,120,111.29,4.12,0.2,0.0,140,Tier-2,120.0
Fresh Red Apples 1kg,fresh fruits,120,111.29,4.12,0.07,0.0,140,Tier-2,120.0
Fresh Red Apples 1kg,fresh fruits,120,111.29,4.12,0.67,0.0,140,Tier-2,118.59
Fresh Red Apples 1kg,fresh fruits,120,111.29,4.12,0.47,0.0,140,Tier-2,119.48
Fresh Red Apples 1kg,fresh fruits,120,111.29,4.12,1.0,0.0,140,Tier-2,117.12
Fresh Red Apples 1kg,fresh fruits,120,111.29,4.12,0.6,0.0,140,Tier-2,118.9
Fresh Red Apples 1kg,fresh fruits,120,111.29,4.12,0.87,0.0,140,Tier-2,117.7
Fresh Red Apples 1kg,fresh fruits,120,108.45,4.12,0.13,0.0,353,Tier-3,115.74
Fresh Red Apples 1kg,fresh fruits,120,108.45,4.12,0.3,0.0,353,Tier-3,115.0
Fresh Red Apples 1kg,fresh fruits,120,108.45,4.12,0.03,0.0,353,Tier-3,116.17
Fresh Red Apples 1kg,fresh fruits,120,108.45,4.12,0.0,0.0,353,Tier-3,116.3
Fresh Red Apples 1kg,fresh fruits,120,108.45,4.12,0.17,0.0,353,Tier-3,115.56
Fresh Red Apples 1kg,fresh fruits,120,108.45,4.12,0.27,0.0,353,Tier-3,115.13
Fresh Red Apples 1kg,fresh fruits,120,108.45,4.12,0.37,0.0,353,Tier-3,114.7
